URL,Category,Region,Desktop Exit Button?,Mobile Exit button?,Keyboard shortcut type,Shortcut keys,Mobile shortcut?,explainer text?,Safe browsing url,Comments
http://www.jglg.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.myumbrella.org.uk/,LGTBQ+,UK,,,,,,,,
https://www.stonewall.org.uk/,LGTBQ+,UK,,,,,,,,
https://lgbt.ie/,LGTBQ+,Ireland,,,,,,,,
https://www.belongto.org/,LGTBQ+,Ireland,Redirect,Redirect,,,,,,
https://teni.ie/,LGTBQ+,Ireland,,,,,,,,
https://outhouse.ie/,LGTBQ+,Ireland,window.location writer,window.location writer,,,,,,
http://www.dublinlesbianline.ie/,LGTBQ+,Ireland,,,,,,,,
https://gayhealthnetwork.ie/,LGTBQ+,Ireland,,,,,,,,
https://man2man.ie/,LGTBQ+,Ireland,Redirect,Redirect,,,,,,
https://nationalgenderserviceireland.com/,LGTBQ+,Ireland,Write+new tab,Write+new tab,,,,,,
http://lgbtni.org/,LGTBQ+,UK,,,,,,,,
https://www.nxf.ie/,LGTBQ+,Ireland,,,,,,,,
https://www.amachlgbt.com/,LGTBQ+,Ireland,,,,,,,,
https://goshh.ie/,LGTBQ+,Ireland,Write+new tab,Write+new tab,,,,,,
http://outcomers.org/,LGTBQ+,Ireland,,,,,,,,
https://ry.org.nz/,LGTBQ+,New Zealand,,,,,,,,
https://outline.org.nz/,LGTBQ+,New Zealand,,,,,,,,
https://genderminorities.com/,LGTBQ+,New Zealand,,,,,,,,
https://insideout.org.nz/,LGTBQ+,New Zealand,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,LGTBQ+,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://mwrc.org.uk/,Religion,UK,Redirect+new tab,Redirect+new tab,,,,,,
https://humanists.uk/,Religion,UK,,,,,,,,
https://newkapporet.org/,Religion,UK,,,,,,,,
https://www.premier.org.uk/,Religion,UK,,,,,,,,
https://alphaireland.org/,Religion,Ireland,,,,,,,,
https://helpline.barnardos.org.uk/,BAME(R),UK,,,,,,,,
https://karmanirvana.org.uk/,BAME(R),UK,Redirect,Redirect,,,,,https://karmanirvana.org.uk/get-help/keeping-safe-online/,
https://myh.org.uk/,BAME(R),UK,,,,,,,,
https://tellmamauk.org/,BAME(R),UK,,,,,,,,
https://www.migranthelpuk.org/,BAME(R),UK,,,,,,,,
